tweet_id,Emotion,Text
1665922804,neutral, Why ? 
1644920339,joy,Sage Act upgrade on my to do list for tommorow.
1684367217,sadness,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM 
1657634660,joy," Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself . "
1652875470,joy,"@Iluvmiasantos ugh babe.. hugggzzz for u .!  babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang "
1676041816,fear,I'm expecting an extremely important phonecall any minute now #terror #opportunity
1619630613,sadness," .Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi. "
1699414328,surprise,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten. Nu dus. #derestkomtlaterwel
1680431541,surprise,En dan krijg je ff een cadeautje van een tweep #melike
1680348901,surprise," @1116am Drummer Boy bij op verzoek van @BiemOosterhof . @frankcornet : welke uitvoering, van wie?"
1614517410,anger,"The bull tossed the effigy out of their hands and became very infuriated . "" "
1618829996,sadness,People hide their behind a #fake smile.
1640751545,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
1647298228,fear,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage
1641096822,anger," With everything , with everybody , with all this ! "
1691264756,sadness,"Shakuhachi dress $580,  10-22 mm lens $708 #pain :("
1600828484,surprise,"Haha of course I come home to a different house, leave it to my parents to redo the entire downstairs without warning "
1665936582,joy,I have a feeling i will fail french #fuckfrench
1628970167,joy, Good.Let ' s go now . 
1698503705,surprise,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone"
1678711196,sadness," Oh , that's too bad . Should I call a doctor ? "
1696511082,joy,"When I fell in love with \X\"".  Overnight I felt confidence, self-esteem,    responsible and worthwhile."""
1651497775,fear,"is a primitive #Instinct that's your friend.It warns you to pay attention when ur in danger,it tells you to do or act to save yourself"
1666570868,anger,I have to talk to you ! 
1683408225,fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
1666960685,sadness,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much! 
1676418233,surprise,another ending? i almost pooped my pants at the end of last weeks crazy ending!  #dEcodEd
1676814871,joy,One could get terribly ecstatic but that would be a dangerous thing to do . 
1617710845,sadness,So much for losing something.. Going to fat burger for dinner with dad   
1663122025,joy,When I was selected to study here at university.
